Broncode/Source code|Referentie/Reference
MI0002.05372| Berekend obv andere voedingsstoffen mbv een formule:  kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen +   13 kJ/g organische zuren
MI0002.05372|Receptuurberekening: zie de receptinformatie voor NEVO-code 5372
MI0002.05378|Receptuurberekening: zie de receptinformatie voor NEVO-code 5378
MI0002.05382|Receptuurberekening: zie de receptinformatie voor NEVO-code 5382
MI0002.05386|Receptuurberekening: zie de receptinformatie voor NEVO-code 5386
MI0002.05393|Receptuurberekening: zie de receptinformatie voor NEVO-code 5393
MI0002.05398|Receptuurberekening: zie de receptinformatie voor NEVO-code 5398
MI0002.05401|Receptuurberekening: zie de receptinformatie voor NEVO-code 5401
MI0002.05402|Receptuurberekening: zie de receptinformatie voor NEVO-code 5402
MI0002.05404|Receptuurberekening: zie de receptinformatie voor NEVO-code 5404
MI0002.05411|Receptuurberekening: zie de receptinformatie voor NEVO-code 5411
MI0002.05412|Receptuurberekening: zie de receptinformatie voor NEVO-code 5412
MI0002.05413|Receptuurberekening: zie de receptinformatie voor NEVO-code 5413
MI0002.05414|Receptuurberekening: zie de receptinformatie voor NEVO-code 5414
MI0002.05415|Receptuurberekening: zie de receptinformatie voor NEVO-code 5415
MI0002.05418|Receptuurberekening: zie de receptinformatie voor NEVO-code 5418
MI0002.05425|Receptuurberekening: zie de receptinformatie voor NEVO-code 5425
MI0002.05427| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0002.05427|Receptuurberekening: zie de receptinformatie voor NEVO-code 5427
MI0114| Berekend obv andere voedingsstoffen mbv een formule:  kJ = 17 kJ/g eiwit + 17 kJ/g koolhydraten (excl voedingsvezel en polyolen) + 8 kJ/g voedingsvezel + 37 kJ/g vet + 29 kJ/g alcohol + 10 kJ/g polyolen +   13 kJ/g organische zuren
MI0114|Receptuurberekening: zie de receptinformatie voor NEVO-code 5236
MI0114|Receptuurberekening: zie de receptinformatie voor NEVO-code 5260
MI0114|Receptuurberekening: zie de receptinformatie voor NEVO-code 5265
MI0114|Receptuurberekening: zie de receptinformatie voor NEVO-code 5268
MI0114|Receptuurberekening: zie de receptinformatie voor NEVO-code 5270
MI0114|Receptuurberekening: zie de receptinformatie voor NEVO-code 5349
MI0114|Receptuurberekening: zie de receptinformatie voor NEVO-code 5354
MI0114|Receptuurberekening: zie de receptinformatie voor NEVO-code 5427
MI0115| Berekend obv andere voedingsstoffen mbv een formule:  kcal = 4 kcal/g eiwit + 4 kcal/g koolhydraten (excl voedingsvezel en polyolen) + 2 kcal/g voedingsvezel + 9 kcal/g vet + 7 kcal/g alcohol + 2.4 kcal/g polyolen +   3 kcal/g organische zuren
MI0115|Receptuurberekening: zie de receptinformatie voor NEVO-code 5258
MI0115|Receptuurberekening: zie de receptinformatie voor NEVO-code 5260
MI0115|Receptuurberekening: zie de receptinformatie voor NEVO-code 5265
MI0115|Receptuurberekening: zie de receptinformatie voor NEVO-code 5267
MI0115|Receptuurberekening: zie de receptinformatie voor NEVO-code 5270
MI0115|Receptuurberekening: zie de receptinformatie voor NEVO-code 5349
MI0115|Receptuurberekening: zie de receptinformatie voor NEVO-code 5359
MI0115|Receptuurberekening: zie de receptinformatie voor NEVO-code 5372
MI0125| Berekend obv andere voedingsstoffen mbv een formule:  dierlijk eiwit = totaal eiwit * percentage dierlijk eiwit
MI0126| Berekend obv andere voedingsstoffen mbv een formule:  plantaardig eiwit = totaal eiwit - dierlijk eiwit
MI0127| Berekend obv andere voedingsstoffen mbv een formule:  stikstof = eiwit / conversiefactor
MI0141| Berekend obv andere voedingsstoffen mbv een formule:  water = 100 - droge stof
MI0144| Berekend obv andere voedingsstoffen mbv een formule:  water = 100 - eiwit - vet - beschikbare koolhydraten - voedingsvezel - alcohol - organische zuren - as
MI0154| Berekend obv andere voedingsstoffen mbv een formule:  mono- en disachariden = beschikbare koolhydraten - polysachariden
MI0161| Berekend obv andere voedingsstoffen mbv een formule:  polysachariden = beschikbare koolhydraten - mono- en disachariden
MI0181| Berekend obv andere voedingsstoffen mbv een formule:  beschikbare koolhydraten =  mono- en disachariden + polysachariden
MI0189| Berekend obv andere voedingsstoffen mbv een formule:  beschikbare koolhydraten = 100 - eiwit - vet - vezel - alcohol - organische zuren - as- water
MI0201.00005| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  5 Rijst witte rauw
MI0201.00007| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  7 Andijvie rauw
MI0201.00012| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  12 Biet rode rauw
MI0201.00014| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  14 Kool bloem- rauw
MI0201.00019| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  19 Champignon rauw
MI0201.00031| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  31 Paprika groene rauw
MI0201.00037| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  37 Prei gekookt
MI0201.00046| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  46 Sla krop- rauw
MI0201.00049| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  49 Bonen snij- rauw
MI0201.00050| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  50 Bonen sperzie- rauw
MI0201.00051| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  51 Spinazie rauw
MI0201.00054| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  54 Kool spits- gekookt
MI0201.00055| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  55 Spruitjes gekookt
MI0201.00060| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  60 Tomaat gewoon rauw
MI0201.00063| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  63 Ui rauw
MI0201.00067| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  67 Witlof rauw
MI0201.00099| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  99 Schapenvlees >10 g vet rauw gem
MI0201.00108| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  108 Kip m vel rauw
MI0201.00109| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  109 Konijn tam rauw
MI0201.00111| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  111 Mosselen gekookt
MI0201.00150| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  150 Ananas
MI0201.00151| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  151 Banaan
MI0201.00161| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  161 Frambozen
MI0201.00163| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  163 Kersen
MI0201.00171| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  171 Sinaasappel
MI0201.00196| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  196 Kapucijners blik/glas
MI0201.00198| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  198 Noten amandelen z vliesje ongezouten
MI0201.00199| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  199 Noten cashew- ongezouten
MI0201.00202| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  202 Kokosnootvlees
MI0201.00204| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  204 Pinda's ongezouten
MI0201.00206| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  206 Noten wal- ongezouten
MI0201.00208| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  208 Meel boekweit-
MI0201.00209| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  209 Ontbijtproduct Cornflakes Kellogg's
MI0201.00212| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  212 Gort parel- rauw
MI0201.00213| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  213 Mout haver-
MI0201.00218| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  218 Meel rogge-
MI0201.00220| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  220 Bloem tarwe- patent
MI0201.00222| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  222 Meel volkoren tarwe-
MI0201.00230| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  230 Broodje wit zacht
MI0201.00233| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  233 Brood krenten-
MI0201.00236| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  236 Brood tarwe-
MI0201.00240| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  240 Koek ontbijt-
MI0201.00242| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  242 Brood rogge- donker
MI0201.00248| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  248 Brood wit- water
MI0201.00252| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  252 Biscuit
MI0201.00270| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  270 Melk rauwe
MI0201.00272| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  272 Melk chocolade- volle
MI0201.00274| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  274 Creamer koffie-
MI0201.00303| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  303 IJs room/vanille-
MI0201.00310| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  310 Boter ongezouten
MI0201.00313| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  313 Olie soja-
MI0201.00317| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  317 Olie zonnebloem-
MI0201.00326| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  326 Kroket vlees- bereid m vloeibaar frituurvet
MI0201.00330| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  330 Kalkoen rauw
MI0201.00343| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  343 Spek vers vet rauw
MI0201.00348| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  348 Garnalen Hollandse gekookt
MI0201.00430| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  430 Cacaopoeder
MI0201.00431| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  431 Chocolade melk-
MI0201.00432| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  432 Chocolade puur
MI0201.00436| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  436 Pasta chocolade- hazelnoot
MI0201.00451| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  451 Mayonaise
MI0201.00455| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  455 Pindakaas
MI0201.00458| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  458 Saus sla- 25% olie
MI0201.00465| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  465 Saus frites- 25% olie
MI0201.00482| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  482 Spekkie
MI0201.00487| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  487 Candybar Mars
MI0201.00515| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  515 Kaas smeer- volvet 48+
MI0201.00566| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  566 Worst knak- blik/glas
MI0201.00567| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  567 Worst boterham-
MI0201.00601| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  601 Olie olijf-
MI0201.00608| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  608 Olie mais/maiskiem-
MI0201.00638| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  638 Worst cervelaat-
MI0201.00639| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  639 Spek ontbijt-
MI0201.00660| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  660 Bonen bruine blik/glas
MI0201.00667| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  667 Cassave rauw
MI0201.00669| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  669 Yam rauw
MI0201.00671| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  671 Aardappel zoete rauw
MI0201.00682| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  682 Pompoen rauw
MI0201.00717| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  717 Chocolade melk- m hazelnoten
MI0201.00784| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  784 Ham achter-
MI0201.00797| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  797 Soep op groentebasis bereid pakje
MI0201.00811| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  811 Pasta volkoren rauw
MI0201.00820| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  820 Kabeljauw rauw
MI0201.00824| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  824 Mosterd
MI0201.00838| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  838 Sesamzaad
MI0201.00884| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  884 Paprika rode rauw
MI0201.00922| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  922 Courgette rauw
MI0201.00952| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  952 Kool boeren- diepvries gekookt
MI0201.00959| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  959 Kool boeren- rauw
MI0201.00972| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  972 Erwten groene gekookt
MI0201.00975| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  975 Knackebrod sesam
MI0201.01025| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1025 Gist gedroogd
MI0201.01095| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1095 Erwten kikker- gekookt
MI0201.01302| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1302 Kaas room- zachte Paturain
MI0201.01315| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1315 Kabeljauwfilet gebakken/gestoofd
MI0201.01326| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1326 Gehakt hoh rul gebakken
MI0201.01392| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1392 Kipfilet bereid
MI0201.01400| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1400 Runderbiefstuk rauw
MI0201.01407| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1407 Lever runder- rauw
MI0201.01413| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1413 Runder doorregen lappen rauw
MI0201.01416| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1416 Rundertong rauw
MI0201.01426| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1426 Lever varkens- rauw
MI0201.01432| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1432 Speklap rauw
MI0201.01434| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1434 Gehakt hoh rauw
MI0201.01443| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1443 Lamsbout rauw
MI0201.01539| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1539 Runderbaklappen bereid
MI0201.01542| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1542 Lever runder- bereid
MI0201.01550| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1550 Rundertartaar bereid
MI0201.01551| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1551 Varkensbraadworst bereid
MI0201.01556| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1556 Varkenshaas bereid
MI0201.01559| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1559 Varkensschouderkarbonade bereid
MI0201.01577| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1577 Lamskarbonade bereid
MI0201.01617| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1617 Schol bereid in magnetron z toev
MI0201.01632| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1632 Inktvis pijl- bereid in magnetron z toev
MI0201.01635| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1635 Kip z vel bereid
MI0201.01650| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1650 Kaas geiten- verse
MI0201.01896| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1896 Noten pistache- gezouten
MI0201.01963| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  1963 Hagelslag chocolade- puur
MI0201.02031| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  2031 Quorn stukjes onbereid
MI0201.02266| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  2266 Chocolade witte
MI0201.02296| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  2296 Koolvis (Atlantisch) rauw
MI0201.02297| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  2297 Tonijn rauw
MI0201.02299| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  2299 Tilapia rauw
MI0201.02355| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  2355 Brood suiker- wit
MI0201.02366| Vetzuursamenstelling berekend obv het vetzuurpatroon van vergelijkbaar product:  2366 Muesli krokante naturel/m fruit
